#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:04:16.854
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.95 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -500 mV
#Channel 2: Range: 500 mV/div Offset: -500 mV
#Math 1: Function: (C1-C2)/301

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.00482875,0.0212905,-0.000600936,7.2729e-05
-0.0048275,0.0216217,-0.000600936,7.38293e-05
-0.00482625,0.0212905,-0.000600936,7.2729e-05
-0.004825,0.0209593,-0.000936452,7.27434e-05
-0.00482375,0.0209593,-0.000600936,7.16287e-05
-0.0048225,0.0212905,-0.000600936,7.2729e-05
-0.00482125,0.0212905,-0.000600936,7.2729e-05
-0.00482,0.0212905,-0.000600936,7.2729e-05
-0.00481875,-0.0217646,-0.00160749,-6.69671e-05
-0.0048175,-0.0273949,-0.00127197,-8.6787e-05
-0.00481625,-0.0270637,-0.000936452,-8.68014e-05
-0.004815,-0.0267325,-0.000600936,-8.68157e-05
-0.00481375,-0.0267325,-0.000936452,-8.57011e-05
-0.0048125,-0.0264013,-0.000936452,-8.46008e-05
-0.00481125,-0.0260701,-0.000265419,-8.57298e-05
-0.00481,-0.0264013,-0.000600936,-8.57154e-05
-0.00480875,-0.0260701,-0.000600936,-8.46151e-05
-0.0048075,-0.0264013,-0.000936452,-8.46008e-05
-0.00480625,-0.0260701,-0.000600936,-8.46151e-05
-0.004805,-0.0260701,-0.000265419,-8.57298e-05
-0.00480375,-0.0260701,-0.000600936,-8.46151e-05
-0.0048025,-0.0260701,-0.000936452,-8.35005e-05
-0.00480125,-0.0260701,-0.000936452,-8.35005e-05
-0.0048,-0.0267325,-0.000600936,-8.68157e-05
-0.00479875,-0.0264013,7.00975e-05,-8.79448e-05
-0.0047975,-0.0260701,-0.000265419,-8.57298e-05
-0.00479625,-0.0260701,-0.000265419,-8.57298e-05
-0.004795,-0.0257389,-0.000265419,-8.46295e-05
-0.00479375,-0.0260701,-0.000600936,-8.46151e-05
-0.0047925,-0.0257389,-0.000600936,-8.35148e-05
-0.00479125,-0.0257389,-0.000600936,-8.35148e-05
-0.00479,-0.0260701,-0.000936452,-8.35005e-05
-0.00478875,-0.0257389,-0.000600936,-8.35148e-05
-0.0047875,-0.0257389,-0.000600936,-8.35148e-05
-0.00478625,-0.0257389,-0.000265419,-8.46295e-05
-0.004785,-0.0257389,-0.000265419,-8.46295e-05
-0.00478375,-0.0260701,-0.000600936,-8.46151e-05
-0.0047825,-0.0264013,-0.000600936,-8.57154e-05
-0.00478125,-0.0260701,7.00975e-05,-8.68445e-05
-0.00478,-0.0254077,-0.000265419,-8.35292e-05
-0.00477875,-0.0254077,-0.000600936,-8.24145e-05
-0.0047775,-0.0254077,-0.000265419,-8.35292e-05
-0.00477625,-0.0257389,-0.000600936,-8.35148e-05
-0.004775,-0.0254077,-0.000265419,-8.35292e-05
-0.00477375,-0.0254077,-0.000600936,-8.24145e-05
-0.0047725,-0.0254077,7.00975e-05,-8.46439e-05
-0.00477125,-0.0254077,-0.000265419,-8.35292e-05
-0.00477,-0.0250765,7.00975e-05,-8.35435e-05
-0.00476875,-0.0254077,-0.000265419,-8.35292e-05
-0.0047675,-0.0254077,7.00975e-05,-8.46439e-05
-0.00476625,-0.0250765,-0.000265419,-8.24289e-05
-0.004765,-0.0254077,-0.000265419,-8.35292e-05
-0.00476375,-0.0250765,-0.000265419,-8.24289e-05
-0.0047625,-0.0250765,-0.000600936,-8.13142e-05
-0.00476125,-0.0250765,-0.000265419,-8.24289e-05
-0.00476,-0.0254077,-0.000265419,-8.35292e-05
-0.00475875,-0.0254077,-0.000265419,-8.35292e-05
-0.0047575,-0.0254077,7.00975e-05,-8.46439e-05
-0.00475625,-0.0247453,0.000405614,-8.35579e-05
-0.004755,-0.0250765,-0.000265419,-8.24289e-05
-0.00475375,-0.0247453,-0.000600936,-8.02139e-05
-0.0047525,-0.0247453,-0.000265419,-8.13286e-05
-0.00475125,-0.0250765,-0.000265419,-8.24289e-05
-0.00475,-0.0247453,-0.000265419,-8.13286e-05
-0.00474875,-0.0250765,-0.000265419,-8.24289e-05
-0.0047475,-0.0250765,-0.000600936,-8.13142e-05
-0.00474625,-0.0250765,7.00975e-05,-8.35435e-05
-0.004745,-0.0247453,-0.000600936,-8.02139e-05
-0.00474375,-0.0247453,-0.000600936,-8.02139e-05
-0.0047425,-0.0254077,-0.000265419,-8.35292e-05
-0.00474125,-0.0244141,-0.000265419,-8.02283e-05
-0.00474,-0.0250765,-0.000265419,-8.24289e-05
-0.00473875,-0.0247453,-0.000265419,-8.13286e-05
-0.0047375,-0.0247453,-0.000265419,-8.13286e-05
-0.00473625,-0.0247453,-0.000600936,-8.02139e-05
-0.004735,-0.0247453,7.00975e-05,-8.24432e-05
-0.00473375,-0.0250765,-0.000265419,-8.24289e-05
-0.0047325,-0.0250765,-0.000265419,-8.24289e-05
-0.00473125,-0.0247453,-0.000265419,-8.13286e-05
-0.00473,-0.0250765,7.00975e-05,-8.35435e-05
-0.00472875,-0.0250765,7.00975e-05,-8.35435e-05
-0.0047275,-0.0257389,-0.000265419,-8.46295e-05
-0.00472625,-0.0247453,7.00975e-05,-8.24432e-05
-0.004725,-0.0247453,-0.000265419,-8.13286e-05
