#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:46:10.204
#Sample rate: 800Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -2 V
#Channel 2: Range: 1 V/div Offset: -2 V
#Our λ: Function: C1/5*(1.36-0.65)+0.65
#Their λ: Function: C2/5*(1.36-0.68)+0.68
#Difference λ: Function: M2 -M1 

Time (s),Channel 1 (V),Channel 2 (V),Our λ (λ),Their λ (λ),Difference λ (λ)
-4.87625,1.83606,1.95026,0.910721,0.945235,0.0345143
-4.875,1.83606,1.94657,0.910721,0.944734,0.0340129
-4.87375,1.83606,1.94657,0.910721,0.944734,0.0340129
-4.8725,1.83243,1.95026,0.910205,0.945235,0.0350307
-4.87125,1.84334,1.94657,0.911754,0.944734,0.0329802
-4.87,1.84697,1.95026,0.91227,0.945235,0.0329652
-4.86875,1.84697,1.94657,0.91227,0.944734,0.0324638
-4.8675,1.84697,1.95026,0.91227,0.945235,0.0329652
-4.86625,1.84697,1.94657,0.91227,0.944734,0.0324638
-4.865,1.84697,1.94657,0.91227,0.944734,0.0324638
-4.86375,1.84697,1.94657,0.91227,0.944734,0.0324638
-4.8625,1.84697,1.94657,0.91227,0.944734,0.0324638
-4.86125,1.84697,1.94657,0.91227,0.944734,0.0324638
-4.86,1.88697,1.94657,0.91795,0.944734,0.0267838
-4.85875,1.89061,1.94657,0.918467,0.944734,0.0262674
-4.8575,1.89061,1.94657,0.918467,0.944734,0.0262674
-4.85625,1.89061,1.95026,0.918467,0.945235,0.0267688
-4.855,1.89061,1.94657,0.918467,0.944734,0.0262674
-4.85375,1.88697,1.94657,0.91795,0.944734,0.0267838
-4.8525,1.89061,1.94657,0.918467,0.944734,0.0262674
-4.85125,1.88697,1.94657,0.91795,0.944734,0.0267838
-4.85,1.91243,1.94657,0.921565,0.944734,0.0231692
-4.84875,2.02152,1.94657,0.937056,0.944734,0.0076782
-4.8475,2.02152,1.94657,0.937056,0.944734,0.0076782
-4.84625,2.02152,1.94657,0.937056,0.944734,0.0076782
-4.845,2.02152,1.95026,0.937056,0.945235,0.00817962
-4.84375,2.02152,1.94657,0.937056,0.944734,0.0076782
-4.8425,2.02152,1.94657,0.937056,0.944734,0.0076782
-4.84125,2.02152,1.94657,0.937056,0.944734,0.0076782
-4.84,2.02152,1.94657,0.937056,0.944734,0.0076782
-4.83875,2.04334,1.94657,0.940154,0.944734,0.00458
-4.8375,2.0797,1.94657,0.945318,0.944734,-0.000583671
-4.83625,2.0797,1.94657,0.945318,0.944734,-0.000583671
-4.835,2.0797,1.94657,0.945318,0.944734,-0.000583671
-4.83375,2.0797,1.94657,0.945318,0.944734,-0.000583671
-4.8325,2.0797,1.94657,0.945318,0.944734,-0.000583671
-4.83125,2.0797,1.94657,0.945318,0.944734,-0.000583671
-4.83,2.0797,1.89127,0.945318,0.937213,-0.00810496
-4.82875,2.0797,1.79172,0.945318,0.923674,-0.0216433
-4.8275,2.10516,1.76592,0.948932,0.920164,-0.0287678
-4.82625,2.1197,1.75485,0.950998,0.91866,-0.0323375
-4.825,2.1197,1.75485,0.950998,0.91866,-0.0323375
-4.82375,2.1197,1.75485,0.950998,0.91866,-0.0323375
-4.8225,2.1197,1.75485,0.950998,0.91866,-0.0323375
-4.82125,2.1197,1.75117,0.950998,0.918159,-0.0328389
-4.82,2.1197,1.75485,0.950998,0.91866,-0.0323375
-4.81875,2.1197,1.75117,0.950998,0.918159,-0.0328389
-4.8175,2.1197,1.75117,0.950998,0.918159,-0.0328389
-4.81625,2.12697,1.75117,0.95203,0.918159,-0.0338716
-4.815,2.12697,1.75117,0.95203,0.918159,-0.0338716
-4.81375,2.12697,1.75485,0.95203,0.91866,-0.0333702
-4.8125,2.12697,1.75117,0.95203,0.918159,-0.0338716
-4.81125,2.12697,1.75117,0.95203,0.918159,-0.0338716
-4.81,2.12697,1.75117,0.95203,0.918159,-0.0338716
-4.80875,2.12697,1.75485,0.95203,0.91866,-0.0333702
-4.8075,2.12697,1.75117,0.95203,0.918159,-0.0338716
-4.80625,2.13061,1.75117,0.952547,0.918159,-0.034388
-4.805,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.80375,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.8025,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.80125,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.8,2.14152,1.75485,0.954096,0.91866,-0.0354357
-4.79875,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.7975,2.14152,1.75485,0.954096,0.91866,-0.0354357
-4.79625,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.795,2.13788,1.75485,0.95358,0.91866,-0.0349193
-4.79375,2.13788,1.75117,0.95358,0.918159,-0.0354207
-4.7925,2.13788,1.75485,0.95358,0.91866,-0.0349193
-4.79125,2.13425,1.75117,0.953063,0.918159,-0.0349044
-4.79,2.13425,1.75117,0.953063,0.918159,-0.0349044
-4.78875,2.13788,1.75485,0.95358,0.91866,-0.0349193
-4.7875,2.13788,1.75117,0.95358,0.918159,-0.0354207
-4.78625,2.13425,1.75485,0.953063,0.91866,-0.034403
-4.785,2.13788,1.75117,0.95358,0.918159,-0.0354207
-4.78375,2.14152,1.75485,0.954096,0.91866,-0.0354357
-4.7825,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.78125,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.78,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.77875,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.7775,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.77625,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.775,2.14152,1.75485,0.954096,0.91866,-0.0354357
-4.77375,2.14152,1.75117,0.954096,0.918159,-0.0359371
-4.7725,2.15243,1.75117,0.955645,0.918159,-0.0374862
-4.77125,2.15607,1.75117,0.956161,0.918159,-0.0380026
-4.77,2.15607,1.75117,0.956161,0.918159,-0.0380026
-4.76875,2.15607,1.81384,0.956161,0.926683,-0.0294785
-4.7675,2.15607,1.97607,0.956161,0.948745,-0.00741602
-4.76625,2.15607,2.02769,0.956161,0.955765,-0.000396155
-4.765,2.15607,2.03875,0.956161,0.957269,0.0011081
-4.76375,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.7625,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.76125,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.76,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.75875,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.7575,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.75625,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.755,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.75375,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.7525,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.75125,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.75,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.74875,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.7475,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.74625,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.745,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.74375,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.7425,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.74125,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.74,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.73875,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.7375,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.73625,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.735,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.73375,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.7325,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.73125,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.73,2.15607,2.04612,0.956161,0.958272,0.00211094
-4.72875,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.7275,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.72625,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.725,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.72375,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.7225,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.72125,2.16698,2.04612,0.95771,0.958272,0.00056184
-4.72,2.16334,2.04612,0.957194,0.958272,0.00107821
-4.71875,2.17061,2.04612,0.958227,0.958272,4.54732e-05
-4.7175,2.23607,2.04612,0.967521,0.958272,-0.00924913
-4.71625,2.23607,2.04612,0.967521,0.958272,-0.00924913
-4.715,2.23607,2.04612,0.967521,0.958272,-0.00924913
-4.71375,2.23607,2.04981,0.967521,0.958774,-0.00874771
-4.7125,2.23607,2.04612,0.967521,0.958272,-0.00924913
-4.71125,2.23607,2.04612,0.967521,0.958272,-0.00924913
-4.71,2.23607,2.04612,0.967521,0.958272,-0.00924913
-4.70875,2.23243,2.04612,0.967005,0.958272,-0.00873276
-4.7075,2.25061,2.04612,0.969587,0.958272,-0.0113146
-4.70625,2.29061,2.08299,0.975267,0.963287,-0.0119804
-4.705,2.29061,2.15304,0.975267,0.972813,-0.00245348
-4.70375,2.29061,2.17147,0.975267,0.975321,5.36162e-05
-4.7025,2.29061,2.17885,0.975267,0.976323,0.00105645
-4.70125,2.29061,2.17885,0.975267,0.976323,0.00105645
-4.7,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.69875,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.6975,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.69625,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.695,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.69375,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.6925,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.69125,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.69,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.68875,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.6875,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.68625,2.29061,2.18254,0.975267,0.976825,0.00155787
-4.685,2.32334,2.18254,0.979914,0.976825,-0.00308943
-4.68375,2.33425,2.18254,0.981463,0.976825,-0.00463853
-4.6825,2.33425,2.18254,0.981463,0.976825,-0.00463853
-4.68125,2.33425,2.18254,0.981463,0.976825,-0.00463853
-4.68,2.33425,2.18254,0.981463,0.976825,-0.00463853
-4.67875,2.33425,2.18254,0.981463,0.976825,-0.00463853
-4.6775,2.33425,2.18254,0.981463,0.976825,-0.00463853
-4.67625,2.33425,2.18254,0.981463,0.976825,-0.00463853
-4.675,2.33425,2.18254,0.981463,0.976825,-0.00463853
-4.67375,2.3597,2.18254,0.985078,0.976825,-0.0082531
-4.6725,2.36334,2.18254,0.985594,0.976825,-0.00876946
-4.67125,2.3597,2.18254,0.985078,0.976825,-0.0082531
-4.67,2.3597,2.18254,0.985078,0.976825,-0.0082531
-4.66875,2.3597,2.18254,0.985078,0.976825,-0.0082531
-4.6675,2.3597,2.18254,0.985078,0.976825,-0.0082531
-4.66625,2.3597,2.18254,0.985078,0.976825,-0.0082531
-4.665,2.3597,2.18254,0.985078,0.976825,-0.0082531
-4.66375,2.3597,2.18254,0.985078,0.976825,-0.0082531
-4.6625,2.37425,2.18254,0.987143,0.976825,-0.0103186
-4.66125,2.38879,2.18254,0.989209,0.976825,-0.012384
-4.66,2.38879,2.18254,0.989209,0.976825,-0.012384
-4.65875,2.38879,2.18254,0.989209,0.976825,-0.012384
-4.6575,2.38879,2.18254,0.989209,0.976825,-0.012384
-4.65625,2.38879,2.18254,0.989209,0.976825,-0.012384
-4.655,2.38879,2.18254,0.989209,0.976825,-0.012384
-4.65375,2.38879,2.18254,0.989209,0.976825,-0.012384
-4.6525,2.38879,2.18254,0.989209,0.976825,-0.012384
